Drift_Rate,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,0.19354500000000005,0.14632693749999998
0.0005,0.19354500000000005,0.14632693749999998
0.001,0.19354500000000005,0.14632693749999998
0.0015,0.19354500000000005,0.14632693749999998
0.002,0.19354500000000005,0.14656
0.0025,0.19354500000000005,0.14656
0.003,0.19354500000000005,0.14656
0.0035,0.19354500000000005,0.14656
0.004,0.19354500000000005,0.16712068750000003
0.0045000000000000005,0.19354500000000005,0.16823175000000004
0.005000000000000001,0.19354500000000005,0.16870362500000002
