Drift_Rate,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,2.066702833966261,2.7338925821467024
0.0005,2.066702833966261,2.7338925821467024
0.001,2.066702833966261,2.7338925821467024
0.0015,2.066702833966261,2.7338925821467024
0.002,2.066702833966261,2.7292576419213974
0.0025,2.066702833966261,2.7292576419213974
0.003,2.066702833966261,2.7292576419213974
0.0035,2.066702833966261,2.7292576419213974
0.004,2.066702833966261,2.3959834850508326
0.0045000000000000005,2.066702833966261,2.380042958908038
0.005000000000000001,2.066702833966261,2.373572212651467
