Drift_Rate,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,0.03745966702500001,0.021413691045156245
0.0005,0.03745966702500001,0.021413691045156245
0.001,0.03745966702500001,0.021413691045156245
0.0015,0.03745966702500001,0.021413691045156245
0.002,0.03745966702500001,0.021479833599999998
0.0025,0.03745966702500001,0.021479833599999998
0.003,0.03745966702500001,0.021479833599999998
0.0035,0.03745966702500001,0.021479833599999998
0.004,0.03745966702500001,0.027958101073906255
0.0045000000000000005,0.03745966702500001,0.028330037767500003
0.005000000000000001,0.03745966702500001,0.028491309870625002
